,title,publisher,date,isbn,Authors,category
8,"Willem De Kooning : the late paintings, the 1980s, [exhibition, San Francisco museum of modern art, 3 October 1995-7 January 1996, Walker art center, Minneapolis, 3 February-8 May 1996... Museum of modern art, New York, 22 January-29 April 1997]. ","San Francisco : San Francisco museum of modern art , 1995",1995,0935640479,,De Kooning
91,"Körper, Eros und Tod : Gustav Klimt im Kontext der Ästhetik des Fin de Siècle. ","Essen : Verl. die Blaue Eule , cop. 1995",1995,389206654X,,Klimt
83,"Willem de Kooning. The Late Paintings, the 1980s",Walker Art Center,1995,UCSD:31822021615752,"Willem De Kooning, Gary Garrels, Robert Storr, San Francisco Museum of Modern Art",De Kooning
191,Gustav Klimt. ,,1995,1860191363,,Klimt
273,Klimt. Special Edition,Marboro Books,1996,0760701121,"Barnes & Noble, Gilles Nberet",Klimt
35,Et maintenant je veux parler de Willem de Kooning. ,"Paris : l'Échoppe , 1996",1996,2840680688,,De Kooning
34,La vie et l'oeuvre de Klimt. ,"[Nîmes] : Livre club , [1996]",1996,2842160363,,Klimt
137,Gustav Klimt. dal disegno al quadro,,1996,8845065588,Christian M. Nebehay,Klimt
208,Klimt. Colour Library,Phaidon Press Limited,1996,UOM:39015038583319,"Catherine Dean, Gustav Klimt",Klimt
173,"Willem De Kooning. die späten Gemälde, die 80er Jahre",,1996,9069181681,,De Kooning
102,Klimt : 1862-1918. ,"Paris : Cercle d'art , 1996",1996,2702204694,,Klimt
40,"Willem De Kooning : de late schilderijen, 1981-1987, San Francisco museum of modern art, 3 oktober 1995-7 januari 1996, Walker art center, Minneapolis, 3 februari-8 mei 1996, Kunstmuseum, Bonn, 25 juni-18 augustus  1996, Museum Boijmans Van Beuningen, Rotterdam, 9 september-1 december 1996, Museum of modern art, New York, 22 januari-29 april 1997. ","Rotterdam : Boijmans Van Beuningen museum , 1996",1996,9069181673,,De Kooning
28,"Abstract expressionist women painters : an annotated bibliography, Elaine de Kooning, Helen Frankenthaler, Grace Hartigan, Lee Krasner, Joan Mitchell, Ethel Schwabacher. ","Lanham (Md.) ; London : the Scarecrow press , cop. 1996",1996,0810829983,,De Kooning
165,Gustav Klimt e la Secessione viennese. 1897 - 1997,,1997,8886187394,Cesare Biasini,Klimt
237,"Gustav Klimt, 1862-1918. The World in Female Form",,1997,UCSD:31822025702630,"Gottfried Fliedl, Gustav Klimt",Klimt
121,Willem De Kooning (1904-1997).. ,,1997,0908298625,,De Kooning
315,"Klimt, Kokoschka, Schiele. Aquarelle und Zeichnungen : Hommage à Serge Sabarsky : Jahrhunderthalle Hoechst, 5. Oktober bis 19. November 1997",,1997,UOM:39015048542230,,Klimt
87,Willem de Kooning. ,,1997,8434308347,"Sally Yard, Willem De Kooning",De Kooning
108,"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; Lisboa ; Paris [etc.] : Taschen , cop. 1997",1997,3822883697,,Klimt
48,De Kooning : 1904-1997. ,"Paris : Cercle d'art , 1998",1998,2702205006,,De Kooning
88,"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; Lisboa ; Paris [etc.] : Taschen , 1998",1998,3822873454,,Klimt
262,Klimt. ,,1998,1840130784,Gerbert Frodl,Klimt
3,"Willem de Kooning : drawing seeing-seeing drawing, [exhibition, the Drawing center, New York, October 31-December 19, 1998, the Addison gallery of American art, Phillips academy, Andover, Mass., January 16-March 28, 1999, Wexner center for the arts, the Ohio state university, Columbus, May 15-August 15, 1999]. ","New York : Arena , 1998",1998,0965728080,,De Kooning
83,Klimt et la mode. ,"Paris : Éd. Assouline , 1998",1998,2843230543,,Klimt
186,Klimt. ,Knickerbocker Press,1998,1577150538,Maria Costantino,Klimt
116,Willem de Kooning. Drawing Seeing/seeing Drawing,,1998,UOM:39015047491660,"Willem De Kooning, Klaus Kertess, Drawing Center (New York, N.Y.)",De Kooning
151,Klimt. la secessione e il tramonto d'oro dell'Impero austriaco,Leonardo Arte,1999,8878138673,"Tatjana Pauli, Gustav Klimt",Klimt
12,"Heiliger Frühling : Gustav Klimt und die Anfänge der Wiener Secession 1895-1905, mit 444 Abbildungen, Davon 357 in Farbe, [Ausstellung, Graphisch Sammlung Albertina, Wien, 16. Oktober 1998 bis 10. Jänner 1999]. ","Wien ; München : C. Brandstätter , 1999",1999,3854478569,,Klimt
14,Fleurs cueillies pour rien : Gustav Klimt. ,"[Charenton] : Flohic , 1999",1999,2842340639,,Klimt
70,Willem de Kooning. ,,1999,OCLC:922655841,,De Kooning
167,Gustav Klimt. ,,1999,8843572296,Gustav Klimt,Klimt
142,Gustav Klimt e le origini della Secessione viennese. ,,1999,8820213095,Domenico Pertocoli,Klimt
89,The Essential Willem de Kooning. ,Cader Books,1999,PSU:000053458285,Catherine Morris,De Kooning
9,Willem de Kooning. ,"Paris : La Martinière , 1999",1999,2732425079,,De Kooning
109,Gustav Klimt. ,"Paris : La Martinière , 2000",2000,2732426415,,Klimt
95,Willem De Kooning. Reflections in the Studio,,2000,UOM:39015050036196,"Edvard Lieber, Willem De Kooning",De Kooning
247,Klimt's Women. ,Dumont,2000,0300087969,"Gustav Klimt, Tobias Günter Natter, Gerbert Frodl, Österreichische Galerie Belvedere",Klimt
30,"Gustav Klimt, 1862-1918. ","Köln ; London ; Paris [etc.] : Taschen , cop. 2000",2000,3822859400,,Klimt
234,Gustav Klimt in the Austrian Gallery Belvedere in Vienna. ,,2000,3853492487,"Gustav Klimt, Gerbert Frodl",Klimt
203,"Gustav Klimt. Silver, Gold and Precious Stones",Prestel Publishing,2000,3791323288,"Gustav Klimt, Angela Wenzel",Klimt
158,Gustav Klimt. 1862-1918,,2000,3822859303,Gilles Néret,Klimt
34,Willem de Kooning : reflections in the studio. ,"New York : H.N. Abrams , cop. 2000",2000,0810945606,,De Kooning
173,Klimt. le donne,Giunti Editore,2000,8809016084,Eva Di Stefano,Klimt
127,"Willem de Kooning. Selected Paintings and Sculpture, 1964-1973",,2000,OCLC:46452963,"Willem De Kooning, Robert Pincus-Witten",De Kooning
103,Willem De Kooning. Mostly Women : Drawings and Paintings from the John and Kimiko Powers Collection,,2000,UCSD:31822036217131,Willem De Kooning,De Kooning
181,Schiele e Klimt. i maestri dell'arte moderna austriaca dalla Fondazione Leopold di Vienna,,2000,OCLC:46766955,"Rudolf Leopold, Egon Schiele, Gustav Klimt",Klimt
179,Gustav Klimt. 1862-1918,Taschen,2000,382285980X,"Gilles Néret, Gustav Klimt",Klimt
266,Essential Klimt. ,,2000,1840847026,Laura Payne,Klimt
172,"De Kooning/Chamberlain. Influence and Transformation : September 21-October 20, 2001",,2001,UCSD:31822030290308,"Bernice Rose, Willem De Kooning, PaceWildenstein (Firm)",De Kooning
95,Klimt : femmes. ,"Paris : Hazan , 2001",2001,285025813X,,Klimt
40,Gustav Klimt : vers un renouvellement de la modernité. ,"Paris : La Martinière , 2001",2001,2732427829,,Klimt
107,"Willem De Kooning. Vellums : March 21-April 21, 2001",,2001,UOM:39015055199601,"Willem De Kooning, Brenda Richardson",De Kooning
33,"Pintura al desnudo : Picasso, Dubuffet, De Kooning, Bacon, Saura, [exposición, Bilbao, Museo de bellas artes] del 11 de junio al 19 de agosto de 2001. ","Bilbao : Museo de bellas artes de Bilbao = Bilboko arte eder museoa , DL 2001",2001,8487184596,,De Kooning
3,"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 2001",2001,0714829676,,Klimt
229,"Gustav Klimt, Modernism in the Making. ",ABRAMS,2001,UOM:39015056280129,"Gustav Klimt, Colin B. Bailey, John Bruce Collins, John Collins, National Gallery of Canada",Klimt
156,"Klimt, Kokoschka, Schiele. dall' art nouveau all' espressionismo ; Complesso del Vittoriano 6.10.2001-3.2.2002",,2001,UVA:X004595719,Jane Kallir,Klimt
138,Willem de Kooning: Vellums. ,,2001,OCLC:316861140,"Willem De Kooning, Brenda Richardson, Mitchell-Innes & Nash, Matthew Marks Gallery",De Kooning
